Sessie;Datum;Tijd;Status
1;20230113;22:00;Inslapen
1;20230113;22:33;Slapen
1;20230114;01:59;Wakker
1;20230114;02:35;Slapen
1;20230114;05:27;Wakker
1;20230114;07:20;Slapen
1;20230114;07:58;Waken
1;20230114;08:11;Uit bed
2;20230114;21:39;Inslapen
2;20230114;22:55;Slapen
2;20230115;02:05;Waken
2;20230115;08:01;Uit bed
3;20230115;21:48;Inslapen
3;20230115;22:33;Slapen
3;20230116;02:17;Wakker
3;20230116;02:42;Slapen
3;20230116;03:28;Waken
3;20230116;07:55;Uit bed
